"","site_code","species","LAT_geogr","LON_geogr","grate20","ddif","tea","ph","Pmeh","Ptot","N","Mg","K","Ca","C","CN","NPtot","NPmeh","PC1","PC2","PC3","twi","cwb"
"104","P800024PCAB","PCAB",48.6355799314,14.0588510711,0.0189783237248056,0.0700141567990377,0.148766139062902,-0.686395807159562,-0.0137326253619283,-0.314987186057005,0.308135436015302,-0.282439242853424,-0.450583780801304,-0.27404820376456,1.75675937602271,2.27052214183196,0.414912604073159,-0.163336912461173,-1.54719173290926,-0.354960427750239,1.65029160820237,-0.898633389340736,-0.753106782815957
"105","P800031PCAB","PCAB",48.8806499096,13.8350047704,0.566806888350893,-0.815509876566718,-0.479707389707546,1.02081498617745,1.6354987979863,1.37342782884397,-0.457667475044301,1.83650801298696,2.4932174603713,0.894324700249108,-0.765302045831244,-0.595434846321135,-1.42030731918,-1.31055005831684,4.00041904052612,1.52686044655356,0.568238082683738,-0.525358521984377,-0.46833093398369
"106","P800044PCAB","PCAB",49.1030143807,17.1760086042,1.16761717906241,0.616660571342303,-4.21848642424224,3.02910873087634,1.59493043628237,-1.56166809062928,-3.30567961857984,0.593626400060409,0.204440903209146,2.73303642291578,-3.02072490909963,0.241122226759092,-1.21103641194207,-1.90051054500522,6.69499399158964,-3.39032573427582,-0.265130326260635,-1.19763344443612,-1.98193322355254
"107","P800047PCAB","PCAB",49.3899945942,17.9700217091,0.820577867982138,-0.123780707506802,-2.58131802124068,1.31970183467008,-0.78982994720974,-1.40553997407736,-2.20545724542585,-0.322942076610297,-0.372613942434936,1.42815513768959,-2.30920103255324,-0.515026101305578,-0.395717530796956,-0.294218926144865,2.80689409916837,-3.02069901400877,-1.68418024278628,0.535734401606266,-1.10241883423321
"108","P800058PCAB","PCAB",49.4380400548,16.0410305308,0.34053416766364,0.278649313510051,-1.35422037155856,0.90269581764258,-0.250178054842241,-0.88748563471161,-1.06688956099477,1.4461309514538,0.000574000680852688,1.59171816772143,-0.513625141787446,0.887503524127819,-0.0157311165232184,-0.406161963504862,2.05377198564734,-2.20748733026116,0.697958682126453,2.79810531107623,-1.80528565444601
"109","P810003PCAB","PCAB",48.6661855366,14.707769216,0.889344410284905,-0.577918032359161,-0.6193628017394,0.764749148460323,0.250260459664138,-0.668253912916885,-0.496492106328953,1.21678582345749,0.351057905876114,1.89544810527591,-0.769007340687869,-0.541418112594572,0.192759534400978,-0.621917238672317,2.1297426311119,-1.22547954296792,0.573277240684623,-0.385636842827404,-0.781692310702649
"110","P810004PCAB","PCAB",48.6661855366,14.707769216,0.869941820670163,-0.269052256706024,-0.6193628017394,0.764749148460323,0.250260459664138,-0.668253912916885,-0.496492106328953,1.21678582345749,0.351057905876114,1.89544810527591,-0.769007340687869,-0.541418112594572,0.192759534400978,-0.621917238672317,2.1297426311119,-1.22547954296792,0.573277240684623,-0.385636842827404,-0.781692310702649
"111","P810005PCAB","PCAB",48.6661855366,14.707769216,0.841308765852712,-0.673240648991537,-0.6193628017394,0.764749148460323,0.250260459664138,-0.668253912916885,-0.496492106328953,1.21678582345749,0.351057905876114,1.89544810527591,-0.769007340687869,-0.541418112594572,0.192759534400978,-0.621917238672317,2.1297426311119,-1.22547954296792,0.573277240684623,-0.385636842827404,-0.781692310702649
"112","P810104PCAB","PCAB",48.9787056485,13.8119546067,0.952055423138803,-0.723533544028517,0.0391922902128844,0.295076211355311,0.772006479260709,2.72047558223743,-0.816784378169792,-0.705654701923643,0.878294747310457,0.0990348193860736,-0.745404369889342,0.0213096477066228,-2.28131647323702,-1.02350134464112,2.29963570246781,2.47368219051631,-1.51499247145154,2.02231372151859,-0.521548877019066
"113","P810113PCAB","PCAB",48.9787056485,13.8119546067,-0.441505083448601,-0.698861579622215,0.0391922902128844,0.295076211355311,0.772006479260709,2.72047558223743,-0.816784378169792,-0.705654701923643,0.878294747310457,0.0990348193860736,-0.745404369889342,0.0213096477066228,-2.28131647323702,-1.02350134464112,2.29963570246781,2.47368219051631,-1.51499247145154,2.02231372151859,-0.521548877019066
"114","P810114PCAB","PCAB",48.9787056485,13.8119546067,0.0680066947319991,0.0650719856354768,0.0391922902128844,0.295076211355311,0.772006479260709,2.72047558223743,-0.816784378169792,-0.705654701923643,0.878294747310457,0.0990348193860736,-0.745404369889342,0.0213096477066228,-2.28131647323702,-1.02350134464112,2.29963570246781,2.47368219051631,-1.51499247145154,2.02231372151859,-0.521548877019066
"115","P810123PCAB","PCAB",48.9787056485,13.8119546067,0.202374534406366,-0.43907745678278,0.0391922902128844,0.295076211355311,0.772006479260709,2.72047558223743,-0.816784378169792,-0.705654701923643,0.878294747310457,0.0990348193860736,-0.745404369889342,0.0213096477066228,-2.28131647323702,-1.02350134464112,2.29963570246781,2.47368219051631,-1.51499247145154,2.02231372151859,-0.521548877019066
"116","P810124PCAB","PCAB",48.9787056485,13.8119546067,0.358404167956062,0.0489403271611708,0.0391922902128844,0.295076211355311,0.772006479260709,2.72047558223743,-0.816784378169792,-0.705654701923643,0.878294747310457,0.0990348193860736,-0.745404369889342,0.0213096477066228,-2.28131647323702,-1.02350134464112,2.29963570246781,2.47368219051631,-1.51499247145154,2.02231372151859,-0.521548877019066
"117","P810150PCAB","PCAB",48.9743671519,13.8070262676,0.798881392662075,1.04664784024858,-0.0953231604342028,0.0462173787005868,1.34856105159891,2.39978539752041,-0.319611066566846,-0.814993187952518,1.05730892333899,-0.242832573890461,-0.62786280183962,-0.574291368690435,-1.8927284737589,-1.16964102768868,2.06238345569039,2.8687459055132,-1.02208533873311,0.261336540036313,-0.461671778746409
